,UF,Não_Extrema Pobreza,Não_Pobreza,Sim_Extrema Pobreza,Sim_Pobreza,Sem Resposta_Extrema Pobreza,Sem Resposta_Pobreza,TOTAL_Extrema Pobreza,TOTAL_Pobreza,ano,mes
0,AC,14271.0,5846.0,100698.0,8162.0,0.0,0.0,114969.0,14008.0,2022,5
1,AL,46129.0,24004.0,454142.0,25464.0,0.0,0.0,500271.0,49468.0,2022,5
2,AP,19965.0,10583.0,85890.0,9462.0,0.0,0.0,105855.0,20045.0,2022,5
3,AM,56522.0,40903.0,436200.0,47840.0,0.0,0.0,492722.0,88743.0,2022,5
4,BA,259964.0,137562.0,2110737.0,119817.0,0.0,0.0,2370701.0,257379.0,2022,5
5,CE,128007.0,65044.0,1214533.0,75892.0,0.0,0.0,1342540.0,140936.0,2022,5
6,DF,13913.0,8958.0,107608.0,15250.0,0.0,0.0,121521.0,24208.0,2022,5
7,ES,38010.0,27350.0,205302.0,48970.0,0.0,0.0,243312.0,76320.0,2022,5
8,GO,57361.0,64594.0,294875.0,101633.0,0.0,0.0,352236.0,166227.0,2022,5
9,MA,106495.0,62043.0,1021704.0,61937.0,0.0,0.0,1128199.0,123980.0,2022,5
10,MT,35265.0,33999.0,157033.0,50234.0,0.0,0.0,192298.0,84233.0,2022,5
11,MS,30935.0,24440.0,130508.0,35959.0,0.0,0.0,161443.0,60399.0,2022,5
12,MG,182193.0,117478.0,1190677.0,194451.0,0.0,0.0,1372870.0,311929.0,2022,5
13,PA,155242.0,102006.0,1029936.0,99675.0,0.0,0.0,1185178.0,201681.0,2022,5
14,PB,69172.0,27081.0,579143.0,29609.0,0.0,0.0,648315.0,56690.0,2022,5
15,PR,82479.0,66397.0,369676.0,120758.0,0.0,0.0,452155.0,187155.0,2022,5
16,PE,203313.0,91905.0,1343256.0,82812.0,0.0,0.0,1546569.0,174717.0,2022,5
17,PI,66096.0,19669.0,519017.0,21130.0,0.0,0.0,585113.0,40799.0,2022,5
18,RJ,326574.0,90835.0,1226803.0,91785.0,0.0,0.0,1553377.0,182620.0,2022,5
19,RN,49342.0,26622.0,404816.0,30200.0,0.0,0.0,454158.0,56822.0,2022,5
20,RS,83053.0,49785.0,409299.0,80840.0,0.0,0.0,492352.0,130625.0,2022,5
21,RO,13555.0,19414.0,67626.0,31392.0,0.0,0.0,81181.0,50806.0,2022,5
22,RR -,11148.0,7139.0,48930.0,7798.0,0.0,0.0,60078.0,14937.0,2022,5
23,SC,35953.0,21615.0,133790.0,38874.0,0.0,0.0,169743.0,60489.0,2022,5
24,SP,418327.0,213965.0,1801244.0,319466.0,0.0,0.0,2219571.0,533431.0,2022,5
25,SE,46942.0,27707.0,324165.0,20300.0,0.0,0.0,371107.0,48007.0,2022,5
26,TO,14578.0,16435.0,112350.0,27156.0,0.0,0.0,126928.0,43591.0,2022,5
