SIGLA,UF,NAO_RECEBE,RECEBE,SEM_RESPOSTA,TOTAL
AC,Acre,41.564,376.376,0,417.940
AL,Alagoas,119.227,1.305.110,0,1.424.337
AP,Amapá,56.498,303.133,0,359.631
AM,Amazonas,185.317,1.632.821,0,1.818.138
BA,Bahia,652.937,5.785.555,0,6.438.492
CE,Ceará,341.895,3.514.925,0,3.856.820
DF,DistritoFederal,48.237,355.217,0,403.454
ES,EspíritoSanto,135.021,719.042,0,854.063
GO,Goiás,242.849,1.148.307,0,1.391.156
MA,Maranhão,299.258,3.259.193,0,3.558.451
MT,MatoGrosso,136.377,609.593,0,745.970
MS,MatoGrossodoSul,110.338,486.725,0,597.063
MG,MinasGerais,612.639,3.800.611,0,4.413.250
PA,Pará,458.123,3.467.861,0,3.925.984
PB,Paraíba,160.152,1.616.479,0,1.776.631
PR,Paraná,313.701,1.380.169,0,1.693.870
PE,Pernambuco,471.051,3.609.464,0,4.080.515
PI,Piauí,141.915,1.454.626,0,1.596.541
RJ,RiodeJaneiro,725.773,3.297.004,0,4.022.777
RN,RioGrandedoNorte,135.470,1.170.344,0,1.305.814
RS,RioGrandedoSul,263.623,1.314.894,0,1.578.517
RO,Rondônia,65.109,309.315,0,374.424
RR,,:
RR,Roraima,37.975,186.966,0,224.941
SC,SantaCatarina,130.838,505.532,0,636.370
SP,SãoPaulo,1.325.357,5.681.166,0,7.006.523
SE,Sergipe,115.181,864.097,0,979.278
TO,Tocantins,64.303,432.823,0,497.126
