"Código","Unidade Territorial","Referência",""
"11","RONDÔNIA","08/2012","197765"
"12","ACRE","08/2012","98914"
"13","AMAZONAS","08/2012","311177"
"14","RORAIMA","08/2012","36417"
"15","PARÁ","08/2012","668427"
"16","AMAPÁ","08/2012","58859"
"17","TOCANTINS","08/2012","231907"
"21","MARANHÃO","08/2012","526045"
"22","PIAUÍ","08/2012","315892"
"23","CEARÁ","08/2012","1151450"
"24","RIO GRANDE DO NORTE","08/2012","425948"
"25","PARAÍBA","08/2012","418996"
"26","PERNAMBUCO","08/2012","929786"
"27","ALAGOAS","08/2012","388037"
"28","SERGIPE","08/2012","212515"
"29","BAHIA","08/2012","1481294"
"31","MINAS GERAIS","08/2012","2696979"
"32","ESPÍRITO SANTO","08/2012","454380"
"33","RIO DE JANEIRO","08/2012","1198934"
"35","SÃO PAULO","08/2012","3240631"
"41","PARANÁ","08/2012","1225140"
"42","SANTA CATARINA","08/2012","483867"
"43","RIO GRANDE DO SUL","08/2012","939477"
"50","MATO GROSSO DO SUL","08/2012","287458"
"51","MATO GROSSO","08/2012","400451"
"52","GOIÁS","08/2012","729809"
"53","DISTRITO FEDERAL","08/2012","259808"
"11","RONDÔNIA","09/2012","199841"
"12","ACRE","09/2012","100139"
"13","AMAZONAS","09/2012","315449"
"14","RORAIMA","09/2012","37053"
"15","PARÁ","09/2012","673534"
"16","AMAPÁ","09/2012","59147"
"17","TOCANTINS","09/2012","232035"
"21","MARANHÃO","09/2012","525572"
"22","PIAUÍ","09/2012","314578"
"23","CEARÁ","09/2012","1148898"
"24","RIO GRANDE DO NORTE","09/2012","425339"
"25","PARAÍBA","09/2012","418812"
"26","PERNAMBUCO","09/2012","933569"
"27","ALAGOAS","09/2012","385871"
"28","SERGIPE","09/2012","212314"
"29","BAHIA","09/2012","1480020"
"31","MINAS GERAIS","09/2012","2685529"
"32","ESPÍRITO SANTO","09/2012","454931"
"33","RIO DE JANEIRO","09/2012","1201591"
"35","SÃO PAULO","09/2012","3243661"
"41","PARANÁ","09/2012","1221664"
"42","SANTA CATARINA","09/2012","483740"
"43","RIO GRANDE DO SUL","09/2012","939285"
"50","MATO GROSSO DO SUL","09/2012","288039"
"51","MATO GROSSO","09/2012","400155"
"52","GOIÁS","09/2012","729507"
"53","DISTRITO FEDERAL","09/2012","261006"
"11","RONDÔNIA","10/2012","201093"
"12","ACRE","10/2012","100907"
"13","AMAZONAS","10/2012","320274"
"14","RORAIMA","10/2012","37557"
"15","PARÁ","10/2012","677236"
"16","AMAPÁ","10/2012","59302"
"17","TOCANTINS","10/2012","232064"
"21","MARANHÃO","10/2012","526521"
"22","PIAUÍ","10/2012","313732"
"23","CEARÁ","10/2012","1149226"
"24","RIO GRANDE DO NORTE","10/2012","425370"
"25","PARAÍBA","10/2012","418323"
"26","PERNAMBUCO","10/2012","936347"
"27","ALAGOAS","10/2012","384004"
"28","SERGIPE","10/2012","212143"
"29","BAHIA","10/2012","1479242"
"31","MINAS GERAIS","10/2012","2677712"
"32","ESPÍRITO SANTO","10/2012","454942"
"33","RIO DE JANEIRO","10/2012","1205494"
"35","SÃO PAULO","10/2012","3245056"
"41","PARANÁ","10/2012","1218000"
"42","SANTA CATARINA","10/2012","482824"
"43","RIO GRANDE DO SUL","10/2012","939735"
"50","MATO GROSSO DO SUL","10/2012","288048"
"51","MATO GROSSO","10/2012","401369"
"52","GOIÁS","10/2012","727907"
"53","DISTRITO FEDERAL","10/2012","262237"
"11","RONDÔNIA","11/2012","201722"
"12","ACRE","11/2012","102018"
"13","AMAZONAS","11/2012","324142"
"14","RORAIMA","11/2012","38117"
"15","PARÁ","11/2012","681190"
"16","AMAPÁ","11/2012","59335"
"17","TOCANTINS","11/2012","232254"
"21","MARANHÃO","11/2012","528167"
"22","PIAUÍ","11/2012","313183"
"23","CEARÁ","11/2012","1147426"
"24","RIO GRANDE DO NORTE","11/2012","424949"
"25","PARAÍBA","11/2012","417907"
"26","PERNAMBUCO","11/2012","939181"
"27","ALAGOAS","11/2012","382977"
"28","SERGIPE","11/2012","212109"
"29","BAHIA","11/2012","1479046"
"31","MINAS GERAIS","11/2012","2670585"
"32","ESPÍRITO SANTO","11/2012","455624"
"33","RIO DE JANEIRO","11/2012","1210276"
"35","SÃO PAULO","11/2012","3244474"
"41","PARANÁ","11/2012","1215144"
"42","SANTA CATARINA","11/2012","481722"
"43","RIO GRANDE DO SUL","11/2012","939629"
"50","MATO GROSSO DO SUL","11/2012","287928"
"51","MATO GROSSO","11/2012","401797"
"52","GOIÁS","11/2012","727011"
"53","DISTRITO FEDERAL","11/2012","263127"
"11","RONDÔNIA","12/2012","202540"
"12","ACRE","12/2012","101912"
"13","AMAZONAS","12/2012","328368"
"14","RORAIMA","12/2012","38722"
"15","PARÁ","12/2012","687768"
"16","AMAPÁ","12/2012","59613"
"17","TOCANTINS","12/2012","231694"
"21","MARANHÃO","12/2012","532083"
"22","PIAUÍ","12/2012","312877"
"23","CEARÁ","12/2012","1144776"
"24","RIO GRANDE DO NORTE","12/2012","425410"
"25","PARAÍBA","12/2012","418254"
"26","PERNAMBUCO","12/2012","944550"
"27","ALAGOAS","12/2012","381868"
"28","SERGIPE","12/2012","211911"
"29","BAHIA","12/2012","1481220"
"31","MINAS GERAIS","12/2012","2662231"
"32","ESPÍRITO SANTO","12/2012","456995"
"33","RIO DE JANEIRO","12/2012","1213007"
"35","SÃO PAULO","12/2012","3246442"
"41","PARANÁ","12/2012","1210980"
"42","SANTA CATARINA","12/2012","479972"
"43","RIO GRANDE DO SUL","12/2012","940149"
"50","MATO GROSSO DO SUL","12/2012","287721"
"51","MATO GROSSO","12/2012","402039"
"52","GOIÁS","12/2012","725985"
"53","DISTRITO FEDERAL","12/2012","263795"
"11","RONDÔNIA","01/2013","202736"
"12","ACRE","01/2013","102333"
"13","AMAZONAS","01/2013","329899"
"14","RORAIMA","01/2013","39003"
"15","PARÁ","01/2013","690323"
"16","AMAPÁ","01/2013","59771"
"17","TOCANTINS","01/2013","231312"
"21","MARANHÃO","01/2013","533874"
"22","PIAUÍ","01/2013","312512"
"23","CEARÁ","01/2013","1143149"
"24","RIO GRANDE DO NORTE","01/2013","425960"
"25","PARAÍBA","01/2013","418506"
"26","PERNAMBUCO","01/2013","947301"
"27","ALAGOAS","01/2013","382206"
"28","SERGIPE","01/2013","211813"
"29","BAHIA","01/2013","1481923"
"31","MINAS GERAIS","01/2013","2658511"
"32","ESPÍRITO SANTO","01/2013","457366"
"33","RIO DE JANEIRO","01/2013","1212749"
"35","SÃO PAULO","01/2013","3245481"
"41","PARANÁ","01/2013","1208913"
"42","SANTA CATARINA","01/2013","479630"
"43","RIO GRANDE DO SUL","01/2013","939208"
"50","MATO GROSSO DO SUL","01/2013","287067"
"51","MATO GROSSO","01/2013","401886"
"52","GOIÁS","01/2013","726217"
"53","DISTRITO FEDERAL","01/2013","263986"
"11","RONDÔNIA","02/2013","203168"
"12","ACRE","02/2013","102748"
"13","AMAZONAS","02/2013","332561"
"14","RORAIMA","02/2013","39281"
"15","PARÁ","02/2013","694309"
"16","AMAPÁ","02/2013","59959"
"17","TOCANTINS","02/2013","230299"
"21","MARANHÃO","02/2013","535642"
"22","PIAUÍ","02/2013","311924"
"23","CEARÁ","02/2013","1141108"
"24","RIO GRANDE DO NORTE","02/2013","425566"
"25","PARAÍBA","02/2013","417814"
"26","PERNAMBUCO","02/2013","950280"
"27","ALAGOAS","02/2013","383039"
"28","SERGIPE","02/2013","212249"
"29","BAHIA","02/2013","1482502"
"31","MINAS GERAIS","02/2013","2651598"
"32","ESPÍRITO SANTO","02/2013","458126"
